mock_sys_test,Sanity,Verify that Upload of a file works fine,Pass,2020-01-31 16:53:16.540544,PRSUBRAMA-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that appopriate error message is displayed while trying to access a file that doesnt exist,Pass,2020-02-02 07:40:36.234104,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that an error is returned while trying to upload a duplicate file,Pass,2020-02-02 07:40:37.510609,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that files of various names are accepted during upload,Fail,2020-02-02 07:40:38.729367,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that 404 is returned while trying to delete a file that does not exist,Pass,2020-02-02 07:40:39.910468,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Delete all the files on the server,Pass,2020-02-02 07:42:20.575890,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the list Files returns no files when there are no files to be displayed,Pass,2020-02-02 07:42:21.932472,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the a file can be uploaded successfully,Pass,2020-02-02 07:42:23.207879,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the uploaded file can be reterived sucessfully - Verify check sum before upload and after reterive,Pass,2020-02-02 07:42:24.464832,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,"Verify that when there are files , the list call displays the files correctly",Pass,2020-02-02 07:42:25.618935,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that a delete operation happens successfully,Pass,2020-02-02 07:42:26.958455,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that appopriate error message is displayed while trying to access a file that doesnt exist,Pass,2020-02-02 07:42:28.176539,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that an error is returned while trying to upload a duplicate file,Pass,2020-02-02 07:42:29.478091,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that files of various names are accepted during upload,Fail,2020-02-02 07:42:30.756217,SRRAVINDR-LT
12PW36_2,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that 404 is returned while trying to delete a file that does not exist,Pass,2020-02-02 07:42:32.083211,SRRAVINDR-LT
12PW36_2,Milestone-3__f0c53a1b8594adb1046555604673530e94409369,Delete all the files on the server_M3,Pass,2020-02-02 07:42:33.734963,SRRAVINDR-LT
12PW36_2,Milestone-3__f0c53a1b8594adb1046555604673530e94409369,Verify Load Balancing        - Have a known configuration of node count and chunk size        - Load a sequence of files with specific sizes        - Check the file count and distribution of load,Pass,2020-02-02 07:42:35.374033,SRRAVINDR-LT
12PW36_2,Milestone-3__f0c53a1b8594adb1046555604673530e94409369,Delete all the files on the server_M34,Pass,2020-02-02 07:42:36.716769,SRRAVINDR-LT
12PW36_2,Milestone-3__f0c53a1b8594adb1046555604673530e94409369,"Verify redundancy         - Have a known configuration of node count , chunk size  and redunduncy level        - Load a sequence of files with specific sizes        - Delete number of nodes as redunduncy specification        - Check if the files can be retrived",Pass,2020-02-02 07:42:38.117631,SRRAVINDR-LT
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 13:23:31.828556,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Fail,2020-02-02 13:23:36.594891,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 13:23:41.519672,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 13:24:07.853949,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 13:36:12.551924,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Fail,2020-02-02 13:36:21.660361,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 13:36:26.805158,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 13:36:30.325264,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 13:40:23.805053,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Fail,2020-02-02 13:40:27.155207,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 13:40:31.474044,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 13:40:33.548797,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 13:43:45.251196,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 13:44:00.473802,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 13:44:07.865311,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 13:44:09.997332,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 13:49:40.245999,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 13:49:47.136824,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 13:50:22.589155,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 13:50:32.469956,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 14:45:49.870156,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 14:45:50.919913,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 14:45:52.034512,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 14:45:53.059055,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 14:47:56.025647,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 14:47:57.032884,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 14:47:58.082053,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 14:47:59.111557,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 14:49:22.438420,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 14:49:23.469028,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 14:49:24.557609,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 14:49:25.643231,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 14:55:52.928324,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 14:55:53.956247,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 14:55:55.019051,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 14:55:56.099685,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Delete all the files on the server,Fail,2020-02-02 14:56:12.548607,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the list Files returns no files when there are no files to be displayed,Fail,2020-02-02 14:56:13.562243,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the a file can be uploaded successfully,Fail,2020-02-02 14:56:14.604493,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the uploaded file can be reterived sucessfully - Verify check sum before upload and after reterive,Fail,2020-02-02 14:56:15.677044,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,"Verify that when there are files , the list call displays the files correctly",Pass,2020-02-02 14:56:16.676417,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that a delete operation happens successfully,Fail,2020-02-02 14:56:17.765688,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that appopriate error message is displayed while trying to access a file that doesnt exist,Pass,2020-02-02 14:56:18.771376,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that an error is returned while trying to upload a duplicate file,Pass,2020-02-02 14:56:19.804946,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that files of various names are accepted during upload,Pass,2020-02-02 14:56:20.866610,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that 404 is returned while trying to delete a file that does not exist,Fail,2020-02-02 14:56:21.928757,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 14:57:23.368508,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 14:57:24.404082,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 14:57:25.431332,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 14:57:26.437146,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 14:58:17.631438,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 14:58:18.657311,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 14:58:19.743475,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 14:58:20.778538,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 15:00:30.001855,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:00:30.993192,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:00:31.972854,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:00:32.949329,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 15:00:53.671018,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:00:54.688658,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:00:55.742007,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:00:56.771052,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 15:01:00.427537,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:01:01.461729,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:01:02.510004,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:01:03.523199,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 15:01:30.508571,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Fail,2020-02-02 15:01:31.596892,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:01:32.620361,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:01:33.633794,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 15:01:43.353274,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:01:44.368056,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:01:45.419760,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:01:46.405868,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 15:02:19.439087,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:02:20.461577,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:02:21.532216,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:02:22.613932,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 15:08:46.168201,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:08:47.195161,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:08:48.189777,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:08:49.212173,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 15:12:17.867631,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:12:18.897129,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:12:19.998308,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:12:21.045401,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 15:17:22.030382,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:17:23.057294,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:17:24.121879,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:17:25.760995,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Fail,2020-02-02 15:18:44.416161,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Fail,2020-02-02 15:18:46.553075,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Fail,2020-02-02 15:18:47.563239,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Fail,2020-02-02 15:18:48.609536,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Upload of a file works fine,Pass,2020-02-02 15:19:21.721078,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that list operation of files works fine,Pass,2020-02-02 15:19:22.731673,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that Download of a file works fine,Pass,2020-02-02 15:19:23.775876,CSLAB2-18
17PW33,Sanity__526ec12f5a4379db6883fda443e5b23f50c91706,Verify that delete operation works fine,Pass,2020-02-02 15:19:24.804645,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Delete all the files on the server,Pass,2020-02-02 15:19:35.839302,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the list Files returns no files when there are no files to be displayed,Pass,2020-02-02 15:19:36.848485,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the a file can be uploaded successfully,Pass,2020-02-02 15:19:37.875663,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the uploaded file can be reterived sucessfully - Verify check sum before upload and after reterive,Pass,2020-02-02 15:19:39.681134,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,"Verify that when there are files , the list call displays the files correctly",Pass,2020-02-02 15:19:40.745179,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that a delete operation happens successfully,Pass,2020-02-02 15:19:41.792394,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that appopriate error message is displayed while trying to access a file that doesnt exist,Pass,2020-02-02 15:19:42.820718,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that an error is returned while trying to upload a duplicate file,Pass,2020-02-02 15:19:43.885500,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that files of various names are accepted during upload,Pass,2020-02-02 15:19:44.908740,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that 404 is returned while trying to delete a file that does not exist,Pass,2020-02-02 15:19:45.901368,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Delete all the files on the server,Pass,2020-02-02 16:06:28.648891,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the list Files returns no files when there are no files to be displayed,Pass,2020-02-02 16:06:29.689894,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the a file can be uploaded successfully,Pass,2020-02-02 16:06:30.840084,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the uploaded file can be reterived sucessfully - Verify check sum before upload and after reterive,Pass,2020-02-02 16:06:31.907856,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,"Verify that when there are files , the list call displays the files correctly",Pass,2020-02-02 16:06:32.995282,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that a delete operation happens successfully,Pass,2020-02-02 16:06:34.118401,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that appopriate error message is displayed while trying to access a file that doesnt exist,Pass,2020-02-02 16:06:35.192073,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that an error is returned while trying to upload a duplicate file,Pass,2020-02-02 16:06:36.206749,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that files of various names are accepted during upload,Pass,2020-02-02 16:06:37.324176,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that 404 is returned while trying to delete a file that does not exist,Pass,2020-02-02 16:06:38.384952,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Delete all the files on the server,Pass,2020-02-02 16:21:15.688108,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the list Files returns no files when there are no files to be displayed,Pass,2020-02-02 16:21:16.722583,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the a file can be uploaded successfully,Fail,2020-02-02 16:21:17.795931,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that the uploaded file can be reterived sucessfully - Verify check sum before upload and after reterive,Fail,2020-02-02 16:21:18.920009,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,"Verify that when there are files , the list call displays the files correctly",Fail,2020-02-02 16:21:19.986826,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that a delete operation happens successfully,Fail,2020-02-02 16:21:21.048657,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that appopriate error message is displayed while trying to access a file that doesnt exist,Pass,2020-02-02 16:21:22.042778,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that an error is returned while trying to upload a duplicate file,Fail,2020-02-02 16:21:23.076874,CSLAB2-18
17PW33,Milestone-1__029dde7697d77476f47bcb6a0d7fbd95edee07b6,Verify that files of various names are accepted during upload,Pass,2020-02-02 16:21:24.244107,CSLAB2-18
